Date,Account,Details,Type,Level,Amount
2/8/2022,Expense,dinner with Trang socola,Dinning out,Waste,205
2/8/2022,Expense,Naruko cleanser,Health/Beauty,Nice to have,250
2/8/2022,Expense,Brushteeth,Neccessary,Must have,25
2/8/2022,Income,Sale Export,Active,Money,478
2/11/2022,Expense,Chocopie cake,Dinning out,Waste,85
2/13/2022,Expense,Candace birthday,Hangouts/Party,Nice to have,180
2/13/2022,Expense,market,Go market,Must have,366
2/14/2022,Expense,Toeic exam,Learning,Must have,1600
2/15/2022,Expense,milktea & food,Dinning out,Waste,120
2/15/2022,Expense,Cloud,Work,Must have,30
2/17/2022,Expense,Candace birthday,Hangouts/Party,Nice to have,105
2/19/2022,Expense,dinner out with Catherine and Mengheng,Dinning out,Waste,285
2/19/2022,Expense,Milktea with howard and konan,Dinning out,Waste,89
2/20/2022,Saving,Saving Funds,Sinking,Nice to have,1500
2/22/2022,Expense,health examination,Card/Docs,Must have,150
2/22/2022,Expense,driver license fees,Card/Docs,Must have,150
2/22/2022,Expense,market,Go market,Must have,319
2/24/2022,Saving,Saving Funds,Emergency,Nice to have,1500
2/26/2022,Expense,blockchain tuition,Learning,Nice to have,3400
2/26/2022,Expense,blockchain tuition,Learning,Nice to have,2075
2/26/2022,Income,Sale Export,Active,Money,2069
2/26/2022,Income,Sale Export,Active,Money,-450
3/1/2022,Expense,market,Go market,Must have,155
3/1/2022,Expense,earphone,Work,Nice to have,139
3/1/2022,Expense,MRT,Transportation,Must have,349
3/2/2022,Expense,snacks,Dinning out,Waste,55
3/3/2022,Income,Sale Export,Active,Money,8423
3/4/2022,Expense,milktea with monica,Dinning out,Waste,140
3/5/2022,Income,Menqlog,Active,Stable,15911
3/6/2022,Expense,market,Go market,Must have,231
3/8/2022,Expense,MCU tuition,Learning,Must have,14471
3/8/2022,Saving,Invest,Stock,Nice to have,1460
3/8/2022,Saving,Invest,ETF,Nice to have,1460
3/8/2022,Saving,Invest,Crypto,Nice to have,1460
3/8/2022,Saving,Saving Funds,Emergency,Nice to have,1500
3/10/2022,Expense,Hamburger sandwich,Dinning out,Must have,65
3/10/2022,Expense,house fees,Accomodation,Must have,4150
3/10/2022,Expense,snacks,Dinning out,Waste,40
3/10/2022,Income,Worker's Life,Active,Money,9010
3/11/2022,Expense,Exchange fees,Card/Docs,Must have,15
